"Reference","doi","Date"
"Fares-Otero, N. E., Amoretti, S., Solé, B., Halligan, S. L., Vieta, E., Leucht, S., Seedat, S., & Harrer, M. (2025). Efficacy of psychosocial interventions on social functioning in individuals with childhood maltreatment experiences: a protocol for a systematic review and network meta-analysis. European Journal of Psychotraumatology, 16(1). https://doi.org/10.1080/20008066.2025.2508548","10.1080/20008066.2025.2508548",2025-12-01
"Wamoyi, J., Martin, M., Shenderovich, Y., Mgunga, S., Manjengenja, N., Ndyetabura, E., & Lachman, J. M. (2025). Acceptability and cultural appropriateness of a parenting programme to reduce violence against adolescents in Tanzania delivered at scale: Implications for scale-up. Global Public Health, 20(1). https://doi.org/10.1080/17441692.2025.2483882","10.1080/17441692.2025.2483882",2025-12-01
"Correa-Salazar, C., Rangel, G., Blandón, J., Agudelo-Avellaneda, E. N., Torres-Benitez, D. S., Quintero-Medina, N., Saray-Jaimes, V., Restrepo-Mantilla, M. L., Chaux-Rettberg, E., & Martínez-Donate, A. (2025). Impacts to mental and brain health on irregular and deported Colombian Migrants: Implications for policy and practice. Neuroscience, 580, 46–53. https://doi.org/10.1016/j.neuroscience.2025.06.020","10.1016/j.neuroscience.2025.06.020",2025-08-06
"Cummins, M. R., Wong, B., Wan, N., Han, J., Shishupal, S. D., Gouripeddi, R., Ivanova, J., Franklin, A., Johnny, J., Ong, T., Welch, B. M., & Bunnell, B. E. (2025). Social vulnerability, lower broadband internet access, and rurality associated with lower telemedicine use in U.S. Counties. JAMIA Open, 8(4). https://doi.org/10.1093/jamiaopen/ooaf056","10.1093/jamiaopen/ooaf056",2025-08-01
"Poole, S., Sisodia, N., Koshal, K., Henderson, K., Wijangco, J., Paredes, D., Chen, C., Rowles, W., Akula, A., Wuerfel, J., Sharma, V., Rauschecker, A. M., Henry, R. G., & Bove, R. (2025). Detecting New Lesions Using a Large Language Model: Applications in Real‐World Multiple Sclerosis Datasets. Annals of Neurology, 98(2), 308–316. Portico. https://doi.org/10.1002/ana.27251","10.1002/ana.27251",2025-08-01
"Ku, B. S., Hamilton, H., Yuan, Q., Parker, D. A., Roach, B. J., Bachman, P. M., Belger, A., Carrión, R. E., Duncan, E., Johannesen, J. K., Light, G. A., Niznikiewicz, M. A., Addington, J., Bearden, C. E., Cadenhead, K. S., Cannon, T. D., Cornblatt, B. A., Keshavan, M., Perkins, D. O., … Mathalon, D. H. (2025). Neighborhood social fragmentation in relation to impaired mismatch negativity among youth at clinical high risk for psychosis and healthy comparisons. Neuropsychopharmacology, 50(9), 1446–1454. https://doi.org/10.1038/s41386-025-02093-4","10.1038/s41386-025-02093-4",2025-08-01
"Blais, J., Fazaa, G. R., & Mungall, L. R. (2023). A Pre-Registered Examination of the Relationship Between Psychopathy, Boredom-Proneness, and University-Level Cheating. Psychological Reports, 128(4), 2401–2419. https://doi.org/10.1177/00332941231184385","10.1177/00332941231184385",2025-08-01
"Abulafia, C., Paternó Manavella, M. A., Rodríguez Espínola, S., Brangold, M., Simonelli, G., Salvia, A., & Vigo, D. E. (2025). Impact of psychosocial determinants on sleep quality decreased during the COVID-19 lockdown: Evidence from an urban panel study. Sleep Health. https://doi.org/10.1016/j.sleh.2025.06.009","10.1016/j.sleh.2025.06.009",2025-07-31
"Marzecki, F., Ahmadzadeh, Y. I., Jayaweera, K., Rijsdijk, F., Siribaddana, S., Sumathipala, A., Herath, B., Jabir, S., Widanaralalage, K., Badini, I., & Zavos, H. M. S. (2025). The aetiology of associations between interpersonal violence, depression and suicidal ideation in Colombo, Sri Lanka: Population-based twin and singleton study. Journal of Affective Disorders, 391, 120005. https://doi.org/10.1016/j.jad.2025.120005","10.1016/j.jad.2025.120005",2025-07-30
"Allegri, R. F. (2025). Dementia research in low-income and middle-income countries — a view from Latin America. Nature Reviews Neurology. https://doi.org/10.1038/s41582-025-01125-3","10.1038/s41582-025-01125-3",2025-07-29
