"Reference","doi","Date"
"Gill, R., Karim, M. E., Puyat, J. H., Guhn, M., Janus, M., Gagné Petteni, M., Forer, B., & Gadermann, A. M. (2024). Childhood poverty and school readiness: Differences by poverty type and immigration background. SSM - Population Health, 25, 101563. https://doi.org/10.1016/j.ssmph.2023.101563","10.1016/j.ssmph.2023.101563",2024-03-01
"Bruinhof, N., Sehic, E., Hancock, G. R., Gartstein, M. A., & de Weerth, C. (2024). Prenatal anticipatory stress: Baby preparation and worry scale-revised in the Dutch context. Comprehensive Psychiatry, 128, 152437. https://doi.org/10.1016/j.comppsych.2023.152437","10.1016/j.comppsych.2023.152437",2024-01-01
"Ober, A. J., Dopp, A. R., Clingan, S. E., Curtis, M. E., Lin, C., Calhoun, S., Larkins, S., Black, M., Hanano, M., Osterhage, K. P., Baldwin, L.-M., Saxon, A. J., Hichborn, E. G., Marsch, L. A., Mooney, L. J., & Hser, Y.-I. (2024). Stakeholder perspectives on a telemedicine referral and coordination model to expand medication treatment for opioid use disorder in rural primary care clinics. Journal of Substance Use and Addiction Treatment, 156, 209194. https://doi.org/10.1016/j.josat.2023.209194","10.1016/j.josat.2023.209194",2024-01-01
"Singer, J., Rerick, P., Elliott, L., Fadalla, C., McLean, E., Jump, A., Molinar-Lopez, V., & Neugebauer, V. (2023). Investigating the Relationship Between Marital Status and Ethnicity on Neurocognitive Functioning in a Rural Older Population: A Project FRONTIER Study. The Journals of Gerontology: Series B, 79(1). https://doi.org/10.1093/geronb/gbad126","10.1093/geronb/gbad126",2024-01-01
"Dennison, C. A., Martin, J., Shakeshaft, A., Riglin, L., Rice, F., Lewis, C. M., O’Donovan, M. C., & Thapar, A. (2023). Stratifying early‐onset emotional disorders: using genetics to assess persistence in young people of European and South Asian ancestry. Journal of Child Psychology and Psychiatry, 65(1), 42–51. Portico. https://doi.org/10.1111/jcpp.13862","10.1111/jcpp.13862",2024-01-01
"Tang, R., Elman, J. A., Dale, A. M., Dorros, S. M., Eyler, L. T., Fennema-Notestine, C., Gustavson, D. E., Hagler, D. J., Lyons, M. J., Panizzon, M. S., Puckett, O. K., Reynolds, C. A., Franz, C. E., & Kremen, W. S. (2023). Childhood Disadvantage Moderates Late Midlife Default Mode Network Cortical Microstructure and Visual Memory Association. The Journals of Gerontology: Series A, 79(1). https://doi.org/10.1093/gerona/glad114","10.1093/gerona/glad114",2024-01-01
"Rawat, P., Sehar, U., Bisht, J., Reddy, A. P., & Reddy, P. H. (2024). Alzheimer’s disease and Alzheimer’s disease-related dementias in Hispanics: Identifying influential factors and supporting caregivers. Ageing Research Reviews, 93, 102178. https://doi.org/10.1016/j.arr.2023.102178","10.1016/j.arr.2023.102178",2023-12-26
"Hendriks, S., Ranson, J. M., Peetoom, K., Lourida, I., Tai, X. Y., de Vugt, M., Llewellyn, D. J., & Köhler, S. (2023). Risk Factors for Young-Onset Dementia in the UK Biobank. JAMA Neurology. https://doi.org/10.1001/jamaneurol.2023.4929","10.1001/jamaneurol.2023.4929",2023-12-26
"Brown, R. M., Dietze, P., & Craig, M. A. (2023). Highlighting health consequences of racial disparities sparks support for action. Science, 382(6677), 1394–1398. https://doi.org/10.1126/science.adh4262","10.1126/science.adh4262",2023-12-22
"Pollmann, A., Sasso, R., Bates, K., & Fuhrmann, D. (2023). Making Connections: Neurodevelopmental Changes in Brain Connectivity after Adverse Experiences in Early Adolescence. The Journal of Neuroscience, JN-RM-0991-23. https://doi.org/10.1523/jneurosci.0991-23.2023","10.1523/JNEUROSCI.0991-23.2023",2023-12-18
"Chen, J., Li, T., Zhao, B., Chen, H., Yuan, C., Garden, G. A., Wu, G., & Zhu, H. (2023). The interaction effects of age, APOE and common environmental risk factors on human brain structure. Cerebral Cortex. https://doi.org/10.1093/cercor/bhad472","10.1093/cercor/bhad472",2023-12-18
